miRNA名称,Adrenocortical carcinoma,Bladder urothelial carcinoma,Breast invasive carcinoma,Cervical and endocervical cancers,Cholangiocarcinoma,Colon adenocarcinoma,Colorectal adenocarcinom,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,Esophageal carcinoma,FFPE Pilot Phase Ⅱ,Glioblastoma multiforme,Glioma,Head  and Neck squamous cell carcinoma,Kidney Chromophobe,Kidney renal clear cell carcinoma,Kidney renal papillary cell carcinoma,Brain Lower Grade Glioma,Liver hepatocellular carcinoma,Lung adenocarcinoma,Lung squamous cell carcinoma,Mesothelioma,Ovarian serous cystadenocarcinoma,Pancreatic adenocarcinoma,Pheochromocytoma and Paraganglioma,Prostate adenocarcinoma,Rectum adenocarcinoma,Sarcoma,Skin Cutaneous Melanoma,Stomach adenocarcinoma,Stomach and Esophageal carcinoma,Testicular Germ Cell Tumors,Thyroid carcinoma,Thymoma,Uterine Corpus Endometrial Carcinoma,Uterine Carcinosarcoma
hsa-miR-10a-5p,20525.94,26910.87,36101.23,29348.64,30240.04,74681.96,74405.21,4967.04,23083.36,53630.94,102.09,1322.86,4718.83,117015.27,39034.43,53633.36,1334.47,15993.78,28109.06,26022.18,43247.74,15450.55,44175.59,16277.18,4370.54,73600.45,21607.92,23064.0,31900.2,29120.37,8471.23,5324.96,4290.04,105476.91,74758.25
hsa-miR-299-3p,8.67,0.69,0.54,0.69,0.83,0.42,0.43,0.32,0.73,0.5,7.28,0.86,0.81,0.25,0.14,0.11,0.8,1.15,0.44,0.85,1.29,0.04,1.17,4.37,0.46,7.94,0.38,0.58,0.58,0.63,24.43,0.16,3.44,0.5,11.31
hsa-miR-302c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.11,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.44,0.3,229.22,0.0,0.0,0.12,0.02
hsa-miR-29c-3p,1831.08,2554.51,2092.11,1840.17,1941.3,1063.93,982.52,3175.72,1800.77,897.77,4478.83,1477.59,2360.99,2357.51,1580.35,1664.28,1449.06,2239.71,3483.76,2755.45,1289.69,58.33,1924.64,3457.77,3331.3,745.77,450.73,891.69,2852.84,2521.14,1354.8,5974.51,5949.37,1190.49,199.69
hsa-miR-544a,0.23,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.02,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.01,0.02,0.01,0.01,0.27,0.0,0.0,0.07,0.0,0.01,0.01,0.37,0.0,0.03,0.01,0.08
hsa-miR-148b-3p,200.84,135.83,179.98,132.93,146.27,269.49,289.15,239.52,111.12,139.88,186.13,84.13,106.45,106.0,176.34,134.09,83.16,210.15,201.24,162.0,121.96,556.12,117.83,202.62,95.36,346.34,95.9,329.94,148.81,136.93,165.46,319.45,205.06,208.68,117.3
hsa-let-7e-5p,5550.59,1698.13,1272.46,1060.39,918.58,749.62,825.9,818.58,1349.69,1424.74,5107.56,1501.75,1043.21,1433.38,1596.99,1135.1,1467.47,966.71,1646.44,989.06,2622.36,4633.69,1447.71,7277.17,806.9,1047.7,2766.8,3047.81,1192.68,1242.18,1134.62,3150.62,1564.51,1438.57,1443.24
hsa-miR-371a-5p,0.04,0.56,0.01,0.01,0.01,0.01,0.97,0.02,16.04,2.54,0.05,0.04,0.03,0.03,0.0,0.01,0.04,1.83,7.35,1.65,0.03,0.05,0.01,0.0,0.03,3.76,0.21,0.31,3.35,7.36,1832.32,0.06,4.19,0.03,0.06
hsa-miR-378a-3p,215.88,807.56,246.39,604.16,403.39,250.94,262.65,777.33,843.01,658.89,341.02,83.89,1035.71,256.96,299.17,356.1,81.44,1017.47,276.33,511.49,593.51,887.54,194.88,188.15,335.8,296.72,467.01,1693.87,648.06,709.52,1013.21,155.63,725.82,369.99,440.83
hsa-miR-10b-5p,181937.09,36357.73,93368.33,34829.49,6345.77,33901.8,31062.07,19648.84,18333.33,65150.51,141.6,17624.44,26460.39,187190.39,203883.18,77240.41,17790.63,18903.35,7219.1,11961.3,27862.24,34361.39,15868.14,237292.63,36416.18,22804.46,86297.76,69001.97,13927.53,15316.62,36942.98,20876.12,22735.66,132859.47,150328.54
hsa-miR-495-3p,204.58,10.55,8.26,6.55,18.25,5.0,5.17,3.48,8.58,5.97,289.15,34.68,7.79,2.25,4.54,1.79,32.27,15.31,7.54,8.5,22.65,1.57,17.38,287.59,6.39,5.66,56.33,8.13,8.78,8.72,228.41,1.94,40.43,7.69,112.64
hsa-miR-410-3p,374.71,25.17,11.28,10.86,28.26,12.29,12.08,7.58,11.38,9.22,585.13,83.06,16.83,4.5,3.36,3.07,78.29,43.61,20.55,20.47,35.88,28.3,62.55,1175.18,9.32,11.46,82.07,10.15,14.63,13.6,470.09,3.78,36.35,12.37,159.04
hsa-miR-505-3p,34.69,51.71,38.4,33.68,50.96,38.04,37.47,111.77,32.81,74.03,19.91,23.39,34.45,21.18,38.84,33.01,23.43,76.96,39.14,53.62,49.11,119.04,27.92,25.07,17.15,35.82,49.46,59.14,42.27,39.29,124.81,28.48,67.91,71.13,87.04
hsa-miR-590-5p,13.3,19.85,13.66,16.96,13.22,10.41,11.3,34.65,15.65,13.33,12.89,8.48,13.98,8.73,11.72,8.84,8.44,16.11,11.87,21.97,11.28,0.07,9.41,9.83,8.25,13.86,11.52,8.55,15.84,15.78,39.26,12.59,41.89,23.84,27.12
hsa-miR-124-3p,1.15,0.98,0.65,0.17,0.08,0.11,0.09,4.12,0.06,0.04,1403.88,283.3,0.2,0.4,0.43,0.24,272.65,0.05,0.6,0.28,0.04,0.09,0.87,6.59,0.1,0.04,1.07,0.15,0.6,0.43,11.62,0.12,0.06,0.35,0.32
hsa-miR-190a-5p,1.86,2.89,4.23,4.86,2.15,3.55,3.74,2.29,5.45,3.59,23.13,5.38,2.92,7.88,12.35,9.54,5.21,3.43,2.99,3.26,3.84,0.02,3.06,9.33,3.54,4.31,5.76,2.69,6.57,6.22,9.98,9.07,15.99,4.55,8.47
hsa-miR-200a-3p,2.63,690.52,283.85,517.78,384.78,436.16,452.1,19.28,776.56,888.43,2.92,1.24,263.93,240.27,135.99,290.2,1.22,67.71,347.16,349.6,33.48,40.4,606.88,3.3,201.72,498.45,14.02,3.36,855.54,830.64,52.45,392.52,927.29,849.91,572.11
hsa-miR-3139,0.02,0.05,0.03,0.03,0.0,0.0,0.0,0.03,0.03,0.05,0.28,0.06,0.03,0.01,0.01,0.02,0.06,0.04,0.04,0.05,0.04,0.0,0.02,0.07,0.0,0.0,0.03,0.1,0.04,0.04,0.12,0.01,0.02,0.03,0.12
hsa-miR-197-3p,317.61,456.49,368.61,359.68,280.87,224.83,236.74,349.83,292.35,507.07,1395.98,615.46,315.12,128.05,295.87,211.13,608.04,370.62,487.52,455.06,309.1,5416.75,200.27,290.46,147.94,271.39,396.67,1332.78,269.09,276.42,470.52,280.34,473.82,579.24,796.91
hsa-miR-491-5p,2.64,1.71,3.47,1.45,0.89,1.22,1.24,0.79,1.07,1.69,43.76,8.45,1.27,1.11,1.62,1.14,8.11,1.44,2.52,1.87,1.3,7.15,1.26,2.23,2.18,1.29,1.34,4.27,1.58,1.42,2.0,8.1,3.43,3.88,3.06
hsa-miR-132-3p,130.21,102.02,83.53,117.23,122.59,103.55,101.76,189.57,90.57,220.7,1950.48,295.14,114.81,81.53,57.2,81.84,279.4,75.24,111.24,112.73,194.87,247.53,219.7,954.27,103.04,96.59,231.34,306.18,118.11,109.42,371.36,117.07,748.06,101.27,173.82
hsa-miR-216b-5p,2.07,1.06,0.07,0.21,5.57,0.17,0.17,0.1,2.72,0.05,0.67,3.2,0.11,0.51,0.87,0.41,3.22,58.69,0.59,0.24,0.44,0.14,84.82,1.57,0.15,0.15,0.2,0.13,0.33,1.08,2.36,0.3,0.51,0.58,0.95
hsa-miR-302a-3p,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.04,0.09,0.0,0.01,0.01,0.01,0.09,0.03,0.0,0.01,0.29,0.0,0.01,0.01,0.0,0.0,0.01,0.01,1.78,1.23,914.11,0.0,0.0,0.48,0.05
hsa-let-7g-5p,877.38,605.07,569.84,561.95,561.38,569.26,651.7,1455.76,768.46,544.71,1279.97,470.11,490.5,578.14,693.78,591.34,462.41,826.38,679.53,469.97,661.07,230.97,561.42,724.7,446.64,891.42,731.52,1111.09,743.22,751.18,609.63,1147.19,1567.47,1060.07,455.38
hsa-miR-7-5p,3.64,4.18,3.04,3.21,0.65,9.71,12.04,5.57,14.59,2.37,71.61,6.37,4.54,0.19,0.72,0.37,5.75,0.84,2.97,2.68,0.8,0.12,38.22,645.21,1.3,18.82,0.86,2.2,11.55,12.51,11.23,20.6,2.37,4.2,4.12
hsa-miR-101-3p,9386.32,8744.85,11646.05,10206.32,20838.95,6893.55,6617.67,17084.01,5608.89,11085.71,18761.35,12307.0,9120.38,21837.8,11390.87,12024.23,12245.65,22921.35,12420.46,14272.4,8058.25,133.14,10538.12,16448.37,15495.44,5815.43,7732.23,5808.81,8722.69,7740.95,14706.0,29586.61,42955.34,9797.3,4323.79
hsa-miR-874-3p,123.88,31.8,34.91,17.34,37.4,20.01,19.64,44.62,17.69,51.76,382.65,73.22,21.59,258.07,25.51,16.09,70.28,28.57,27.42,36.74,19.86,135.09,49.54,64.1,7.23,18.58,35.33,54.4,20.27,19.45,69.13,130.89,77.23,53.85,40.06
hsa-miR-499a-5p,2.2,1.28,0.31,1.96,0.21,0.9,1.2,0.23,0.31,0.08,2.24,0.59,1.87,0.18,0.29,0.29,0.58,2.78,0.27,0.27,0.23,0.02,0.13,0.19,0.6,2.07,0.32,0.19,0.85,0.68,0.6,0.7,0.54,2.7,17.76
hsa-miR-320d,0.37,0.9,1.23,1.25,0.54,0.89,0.97,0.29,0.6,0.61,0.4,0.57,0.76,0.28,0.86,0.42,0.57,0.6,1.03,0.94,0.43,6.08,0.52,0.74,0.44,1.2,0.98,3.55,0.91,0.81,0.82,0.72,0.89,1.79,1.23
hsa-miR-381-3p,769.36,53.96,35.89,45.08,101.1,62.41,62.86,31.48,47.13,38.92,347.4,51.07,123.6,20.77,10.29,9.98,48.25,76.25,51.04,62.04,108.79,19.82,134.47,603.58,42.01,64.16,352.59,23.62,52.45,50.77,1756.64,13.67,130.32,30.82,460.3
hsa-miR-125a-5p,3569.31,644.78,1041.21,495.49,793.94,218.67,243.53,358.91,376.38,914.69,1399.1,588.79,340.0,983.43,1065.75,667.99,581.08,357.58,701.44,565.69,1036.01,4048.71,779.98,2246.98,525.27,315.83,893.26,1366.72,389.48,385.35,1301.4,1931.46,2171.02,967.23,1673.83
hsa-miR-212-3p,3.26,6.25,4.36,8.25,3.51,7.78,7.23,6.15,5.17,5.16,48.76,9.63,8.48,3.33,2.83,2.27,9.26,3.78,8.54,6.42,5.66,5.81,7.89,26.15,4.72,5.62,6.64,20.4,7.25,6.6,12.07,6.24,15.5,5.96,8.34
hsa-miR-551a,0.05,0.39,0.51,0.59,0.24,0.36,0.31,0.25,0.29,0.43,0.16,0.23,0.46,0.21,0.2,0.11,0.23,0.21,1.79,1.63,2.59,4.15,0.35,0.14,0.07,0.16,0.75,0.96,0.71,0.57,1.77,0.18,1.61,1.48,3.73
hsa-miR-219a-5p,1.36,1.8,0.82,1.64,0.78,0.53,0.55,5.47,1.59,1.34,679.44,147.83,1.11,0.24,0.65,1.13,142.77,2.16,0.77,1.61,1.15,0.01,0.77,1.07,0.95,0.58,1.1,0.3,1.09,1.25,4.82,1.72,4.42,1.77,9.41
hsa-miR-342-3p,102.41,156.09,452.76,169.49,104.59,55.17,59.0,616.82,130.82,174.95,304.42,103.25,189.03,28.75,139.26,77.15,101.34,107.26,137.75,193.17,159.13,226.26,112.1,155.06,82.29,70.16,110.36,440.42,118.99,122.72,356.77,108.48,505.05,137.38,201.57
hsa-miR-599,0.02,0.03,0.01,0.62,0.0,0.01,0.01,0.03,0.0,0.0,0.0,0.08,0.01,0.01,0.46,1.18,0.08,0.07,0.0,0.12,0.01,0.0,0.0,0.0,0.0,0.0,0.07,1.28,0.0,0.0,0.05,0.0,0.42,0.21,0.73
hsa-miR-31-5p,5.93,84.92,5.5,95.36,3.33,11.87,11.17,2.04,51.92,12.77,3.22,1.23,108.03,7.82,10.81,40.82,1.21,1.02,14.23,28.57,7.76,11.14,18.26,0.64,2.48,9.15,10.86,9.71,31.95,38.25,12.81,66.04,19.07,40.76,16.99
hsa-miR-21-5p,88454.69,292152.95,226923.83,364647.46,372871.4,180407.34,176609.11,433227.55,320014.03,228495.16,10081.16,26147.96,302742.73,45566.22,158467.43,337776.38,26300.68,223328.54,334447.37,309691.84,403236.82,4724.22,359406.26,38359.87,109402.66,165564.25,235370.88,155580.92,260014.81,278931.76,195717.17,180214.99,94263.61,137177.97,131545.36
hsa-miR-3167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.03
hsa-miR-543,28.97,1.21,0.78,0.98,2.62,0.7,0.71,0.62,1.1,1.02,26.39,3.38,1.03,0.45,0.44,0.23,3.16,2.02,1.15,1.25,2.62,2.94,2.21,33.87,0.61,0.75,8.95,1.45,1.12,1.12,44.4,0.18,5.94,0.91,12.29
hsa-miR-92a-3p,4635.86,14816.89,9816.77,16125.83,12177.57,24587.32,25857.08,30690.54,15289.03,22065.75,5999.96,5916.59,13949.61,6000.38,5811.49,6582.63,5915.8,22732.55,10575.94,16550.8,6809.58,133079.05,6692.13,3592.56,7366.47,29549.39,8239.69,45693.22,12855.85,13623.0,30825.07,8973.01,33190.59,16182.73,34561.16
hsa-miR-590-3p,5.25,6.55,5.17,6.83,5.27,4.34,4.47,15.34,5.65,3.68,3.63,2.6,5.99,2.8,4.45,3.91,2.59,7.16,5.04,6.45,4.59,0.01,3.39,2.51,3.07,4.86,4.0,2.96,6.17,6.01,12.28,4.56,16.0,7.81,8.77
hsa-miR-30d-5p,8550.49,6383.47,7397.87,4567.74,17789.01,5084.06,5163.87,15490.1,5937.31,11155.24,5405.36,3122.64,5004.1,20403.38,8383.0,13918.02,3091.44,14780.68,13784.78,8979.27,7375.63,14711.7,5413.88,8787.94,7572.38,5395.95,4195.11,27320.71,5300.36,5501.18,5846.34,15633.17,16077.64,6493.87,7138.81
hsa-miR-222-3p,23.17,83.63,50.87,131.34,38.45,61.71,65.67,115.99,105.33,82.1,88.91,15.93,111.66,277.94,45.12,35.72,15.24,31.66,79.71,104.22,73.51,155.01,77.98,6.18,49.1,77.18,119.21,165.89,107.09,106.53,73.77,422.96,187.95,59.08,61.59
hsa-miR-3619-5p,0.1,0.11,0.1,0.19,0.05,0.0,0.0,0.04,0.09,0.13,0.0,0.02,0.16,0.03,0.03,0.03,0.02,0.03,0.08,0.14,0.03,0.0,0.05,0.02,0.01,0.0,0.04,0.2,0.11,0.1,0.02,0.02,0.04,0.31,0.1
hsa-miR-494-3p,32.07,2.82,1.86,1.33,1.64,1.48,1.61,0.66,2.29,0.66,7.62,1.92,1.94,0.25,0.63,0.31,1.87,3.34,0.96,1.74,3.34,0.42,2.39,20.69,1.15,1.98,9.31,1.63,1.63,1.84,29.5,0.34,2.28,1.46,13.01
hsa-miR-194-5p,336.68,343.04,186.41,1026.18,8033.6,15861.05,16005.45,430.08,9507.27,5592.55,176.59,96.66,128.77,792.99,2896.64,2648.56,95.9,19194.26,909.42,187.26,203.84,61.38,5328.8,236.45,128.38,16425.37,156.31,160.45,13900.69,12515.5,1717.78,334.3,613.48,401.31,439.95
hsa-miR-223-3p,225.44,391.08,142.73,557.83,365.71,377.57,359.2,657.25,492.11,359.12,247.2,98.74,666.63,55.99,116.0,179.7,97.33,208.71,334.24,598.01,379.81,59.22,393.33,90.95,69.69,305.79,178.7,505.57,507.77,502.83,284.27,127.57,216.13,267.86,482.46
hsa-miR-339-5p,51.3,68.42,50.46,41.76,23.56,13.26,13.67,51.03,41.59,56.86,20.99,28.64,40.94,13.58,33.93,31.59,28.71,30.79,38.9,51.07,36.81,54.79,29.84,21.59,14.76,14.89,25.79,124.72,39.68,40.29,45.77,36.99,48.51,51.93,59.84
hsa-miR-378b,0.02,0.04,0.02,0.06,0.07,0.0,0.0,9.27,0.05,0.06,0.0,0.0,0.1,0.02,0.02,0.05,0.0,0.12,0.03,0.05,0.06,0.0,0.01,0.01,0.02,0.0,0.02,0.09,0.04,0.04,0.1,0.02,0.11,0.05,0.04
hsa-miR-758-3p,131.95,20.26,12.81,8.73,15.53,8.71,8.22,5.17,9.27,12.33,170.23,38.36,12.06,4.68,3.12,2.3,37.11,30.94,11.11,22.02,21.07,9.83,26.89,192.57,5.63,6.81,102.79,6.19,10.75,10.29,422.02,3.31,23.42,8.95,95.74
hsa-miR-200c-3p,21.93,16957.68,11386.54,11145.09,1549.46,12804.74,13376.93,345.58,13496.91,11063.94,15.9,11.0,112200.9,3691.5,443.92,714.75,10.95,411.45,10540.41,12697.95,152.41,88434.48,6189.06,94.92,11935.78,15040.81,155.79,465.97,10244.42,11269.89,5162.4,14494.23,9051.75,15108.69,6309.34
hsa-miR-205-5p,1.23,10228.17,3397.61,14609.3,9.57,4.97,4.27,38.86,7412.5,1253.61,1.17,0.77,15172.38,4.08,14.75,275.79,0.77,9.69,612.41,15187.95,5.97,3343.5,341.62,0.12,861.61,2.21,22.59,559.85,219.16,2487.13,943.8,195.45,21025.76,974.42,1046.46
hsa-miR-191-5p,834.81,884.37,1058.31,475.35,491.5,576.88,657.59,1857.19,529.35,1291.58,643.32,338.34,367.67,539.04,437.44,485.97,335.44,623.56,458.38,458.8,417.98,1389.98,399.37,479.58,380.18,892.28,592.79,1150.65,588.57,569.9,849.81,657.7,1351.73,1304.87,1414.39
hsa-miR-146b-5p,315.26,667.09,571.47,876.12,579.52,412.52,435.59,1638.27,962.4,958.57,618.67,160.76,795.42,104.99,635.29,571.48,156.4,1589.48,1283.79,1073.47,1307.58,368.36,786.58,139.36,250.85,502.68,692.94,884.01,705.74,786.66,2053.44,21728.22,1799.7,716.33,2418.17
hsa-miR-146a-5p,17.9,134.01,137.82,183.27,128.49,226.38,232.47,1862.15,236.62,132.66,17.19,17.45,208.32,24.3,75.22,134.07,17.45,95.14,184.22,168.26,91.9,41.85,135.7,12.6,41.74,250.19,83.07,2803.22,265.09,256.11,494.25,121.33,327.76,105.96,58.1
hsa-miR-150-5p,120.56,601.03,1123.56,1003.73,1423.9,391.84,371.3,4220.65,465.3,492.39,127.12,79.54,1049.2,214.21,460.26,354.84,79.09,506.67,1214.6,1136.25,784.99,1120.08,1009.48,91.51,287.21,311.6,274.23,3317.21,805.98,698.57,2604.32,663.81,3471.94,418.24,114.77
hsa-miR-431-5p,88.59,7.83,2.14,1.85,3.68,3.44,3.2,0.99,2.03,1.57,2.16,0.57,3.29,0.77,0.45,0.3,0.55,9.61,4.33,3.18,4.96,9.1,2.97,128.69,0.29,2.53,13.89,3.72,2.19,2.14,60.79,0.36,2.34,2.91,51.45
hsa-miR-1271-5p,1.71,2.42,3.78,3.71,2.21,1.29,1.36,5.85,2.19,5.37,11.62,7.19,3.16,2.69,7.11,2.37,7.15,1.91,2.17,4.65,3.31,5.31,2.97,2.63,1.69,1.55,8.35,8.83,2.2,2.2,6.03,3.08,10.24,4.58,9.54
hsa-miR-129-5p,23.56,7.68,5.93,5.41,3.83,4.58,4.03,219.07,7.02,6.64,4239.76,515.53,10.38,43.98,7.81,3.74,480.13,1.85,9.75,41.59,17.35,59.22,174.9,1653.77,3.21,2.45,49.82,50.33,10.74,9.56,59.91,5.24,6.47,9.46,49.22
hsa-miR-487b-3p,249.53,8.39,5.71,4.34,9.07,3.82,3.81,2.82,4.98,4.93,200.03,26.51,5.41,2.53,2.19,1.27,24.86,14.9,6.64,5.42,15.23,5.2,31.09,758.64,4.23,3.77,47.69,5.95,6.0,5.68,122.8,1.54,15.54,5.48,86.17
hsa-miR-383-5p,8.37,3.41,1.75,0.21,2.01,0.82,0.79,1.4,0.52,13.76,256.53,60.35,3.22,0.03,0.04,0.25,58.49,6.73,0.19,2.4,2.92,1.84,2.2,10.52,2.36,0.72,18.13,0.58,1.17,0.96,4.88,0.03,68.45,2.1,6.31
hsa-miR-100-5p,1677.27,3294.08,4213.62,2790.26,7076.76,2827.73,2878.08,4242.53,2203.67,3415.74,16460.97,9805.74,2981.54,6827.65,4361.41,2966.39,9742.48,7148.9,8722.65,5953.04,16303.47,6157.03,7667.53,1572.61,8301.63,3024.5,10204.68,14312.87,3256.7,2924.69,5953.97,13295.54,32958.81,4157.0,4220.38
hsa-miR-488-3p,5.03,0.15,0.23,0.11,0.07,0.02,0.02,0.16,0.08,0.06,36.6,10.91,0.11,0.03,0.03,0.13,10.67,0.13,0.21,0.23,0.28,0.03,0.4,6.95,0.17,0.03,0.68,0.14,0.09,0.09,1.17,0.13,0.27,0.84,1.81
hsa-miR-33b-5p,3.45,3.2,7.2,6.39,5.08,3.16,2.94,3.38,1.64,3.27,6.89,1.93,3.38,1.65,1.57,1.17,1.89,9.29,3.86,5.2,0.97,0.07,1.38,1.63,1.58,2.31,1.64,1.4,3.63,3.0,1.54,2.98,10.12,7.4,1.11
hsa-miR-96-5p,28.05,38.83,38.16,28.76,20.37,15.81,17.52,11.82,28.45,27.74,2.71,13.78,20.81,27.44,4.4,14.93,13.89,12.73,25.13,34.5,20.52,2.81,15.12,5.37,27.53,22.51,4.83,1.77,18.9,21.91,184.47,16.85,102.85,50.65,67.35
hsa-miR-875-5p,0.02,0.03,0.0,0.15,0.0,0.01,0.01,0.04,0.01,0.0,0.0,0.02,0.01,0.0,0.47,0.53,0.02,0.14,0.01,0.06,0.01,0.0,0.01,0.0,0.01,0.0,0.05,0.13,0.01,0.01,0.04,0.01,0.56,0.1,0.6
hsa-miR-192-5p,673.7,670.16,499.26,2742.32,21003.13,41867.67,45199.57,1324.56,20052.41,18058.94,434.54,280.9,316.38,2578.26,10080.28,6827.02,279.44,44741.77,2209.01,507.25,412.93,92.35,11873.3,515.34,224.99,54888.4,369.17,458.89,32568.77,28622.53,4599.41,751.08,1467.93,1549.43,1374.03
hsa-miR-377-3p,19.84,1.78,1.18,1.3,2.7,0.85,0.87,0.68,1.38,0.75,8.91,1.52,1.4,0.42,0.48,0.28,1.45,1.98,1.04,1.27,2.81,0.02,3.36,21.18,0.81,0.93,6.91,0.67,1.6,1.53,19.48,0.29,5.01,1.12,7.33
hsa-miR-183-5p,10157.31,13972.77,15900.93,8797.73,3525.21,8145.3,8183.81,2622.29,7771.97,10560.34,278.5,2315.71,9038.07,6215.84,1209.09,4978.86,2335.08,3657.8,11420.65,14887.97,4095.68,15968.38,3615.52,2207.12,5408.08,8295.78,764.22,909.89,4852.77,5773.15,23074.0,4597.97,13791.71,18460.89,26412.92
hsa-miR-296-3p,0.56,1.73,0.92,1.22,0.9,0.82,0.91,2.52,0.84,2.15,0.93,1.63,1.17,0.79,0.7,1.13,1.63,1.27,1.11,3.11,1.32,12.32,0.71,1.68,0.15,1.19,1.99,9.48,1.02,0.96,18.43,2.39,4.31,2.15,3.44
hsa-miR-99a-5p,582.76,276.13,1027.68,1041.9,817.0,145.42,149.39,120.27,293.52,534.63,2236.89,2660.08,505.12,980.36,681.94,852.94,2664.11,929.25,335.38,513.31,845.26,933.69,813.13,333.64,2528.58,160.95,2028.86,352.96,457.89,406.07,1265.56,1799.62,3877.25,1061.59,1009.55
hsa-miR-184,88.66,6.61,100.28,7.61,5.73,2.63,2.25,12.13,5.84,1.91,50.31,19.47,11.65,7.04,3.81,3.03,19.18,19.01,10.18,69.41,3.86,23.46,46.79,9.98,2.92,1.15,6.83,30.91,6.86,6.54,257.72,8.03,115.26,31.5,10.06
hsa-miR-210-3p,1327.39,1118.73,667.6,1400.08,750.06,474.81,509.24,1555.92,639.23,2501.99,175.7,132.52,1257.48,428.48,2798.2,752.81,132.11,577.27,1112.73,2370.32,980.85,503.55,684.23,530.9,115.59,609.36,724.57,1104.1,543.01,573.35,1036.26,112.75,794.94,1843.68,1770.45
hsa-miR-208a-3p,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.02,0.0,0.0,0.0,0.06,0.0,0.04,0.0,0.07
hsa-miR-99b-5p,87456.56,29922.94,44229.75,20244.79,18296.4,11749.59,11937.87,13512.22,12171.65,41056.38,45287.07,23277.73,15180.34,28954.22,39050.24,20736.41,23068.52,13147.45,29157.16,24233.51,30276.58,264241.81,19755.6,57877.68,15180.33,12485.39,29245.73,67254.27,15824.76,14672.98,31555.39,48763.28,17928.4,52044.3,73067.31
hsa-miR-126-3p,3842.95,2109.28,3352.01,1487.6,3782.38,1260.78,1448.13,3219.12,1905.95,4660.94,2146.36,1097.6,1996.86,3286.23,10072.52,1389.11,1087.63,5434.06,2545.52,3299.3,2143.46,112.2,1710.79,3947.42,1349.67,1992.91,2705.44,2191.73,2347.29,2208.14,4029.12,6386.67,4168.14,2626.0,2283.76
hsa-miR-208b-3p,0.0,0.0,0.09,0.01,0.01,0.0,0.0,0.03,0.0,0.0,0.18,0.35,1.72,0.0,0.01,0.0,0.35,0.0,0.01,0.0,0.07,0.0,0.0,0.29,0.16,0.0,0.14,0.01,0.01,0.01,0.09,0.03,0.01,0.02,0.81
hsa-miR-127-3p,8553.55,705.22,699.73,475.12,639.4,868.8,835.73,211.83,423.64,583.57,5569.73,929.4,696.33,234.69,167.76,118.71,885.29,799.28,541.01,653.41,905.94,3365.3,1335.53,19220.03,362.28,739.57,3327.08,626.2,583.11,532.83,7737.98,181.55,1756.47,390.94,2453.82
