miRNA名称,Adrenocortical carcinoma,Bladder urothelial carcinoma,Breast invasive carcinoma,Cervical and endocervical cancers,Cholangiocarcinoma,Colon adenocarcinoma,Colorectal adenocarcinom,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,Esophageal carcinoma,FFPE Pilot Phase Ⅱ,Glioblastoma multiforme,Glioma,Head  and Neck squamous cell carcinoma,Kidney Chromophobe,Kidney renal clear cell carcinoma,Kidney renal papillary cell carcinoma,Brain Lower Grade Glioma,Liver hepatocellular carcinoma,Lung adenocarcinoma,Lung squamous cell carcinoma,Mesothelioma,Ovarian serous cystadenocarcinoma,Pancreatic adenocarcinoma,Pheochromocytoma and Paraganglioma,Prostate adenocarcinoma,Rectum adenocarcinoma,Sarcoma,Skin Cutaneous Melanoma,Stomach adenocarcinoma,Stomach and Esophageal carcinoma,Testicular Germ Cell Tumors,Thyroid carcinoma,Thymoma,Uterine Corpus Endometrial Carcinoma,Uterine Carcinosarcoma
hsa-miR-302d-3p,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.04,0.08,0.0,0.01,0.01,0.01,0.08,0.02,0.0,0.02,0.3,0.0,0.01,0.01,0.0,0.0,0.02,0.01,0.9,0.62,686.14,0.0,0.0,0.5,0.06
hsa-miR-326,1.13,6.91,14.03,4.19,3.01,35.02,31.85,7.81,2.32,5.83,22.63,10.19,4.62,2.73,6.06,2.81,10.07,5.36,30.75,10.61,4.04,201.3,3.14,1.91,2.45,22.63,2.18,21.75,7.09,5.58,4.32,6.06,2.15,7.14,1.86
hsa-miR-196a-5p,91.21,66.97,769.42,183.24,34.74,223.26,236.75,26.49,207.29,309.07,0.11,10.42,80.89,284.0,383.0,303.19,10.51,18.17,121.81,105.56,163.16,6.29,45.98,162.25,4.35,275.97,320.53,308.29,233.25,225.06,42.27,7.13,13.29,247.1,391.48
hsa-miR-16-5p,321.08,547.97,569.1,832.57,474.5,415.73,455.51,1583.68,507.16,429.92,505.03,338.73,589.62,350.8,557.87,288.65,337.15,497.3,475.62,554.66,484.81,89.72,253.47,431.97,235.96,571.2,433.34,592.25,479.08,487.93,789.09,691.5,1970.12,699.85,494.4
hsa-miR-433-3p,72.24,2.03,1.37,0.86,1.83,1.31,1.3,0.46,0.87,1.44,200.71,21.73,0.89,0.72,0.63,0.39,20.03,3.53,1.58,1.81,2.47,15.19,6.31,378.28,0.63,1.29,12.94,3.22,1.31,1.17,29.47,0.41,4.64,1.45,31.14
hsa-miR-98-5p,89.79,82.72,61.65,56.08,47.02,58.18,62.38,77.38,61.9,59.74,212.75,70.04,56.84,34.01,63.04,52.62,68.68,59.7,67.05,62.49,60.1,10.61,49.72,155.03,31.08,74.6,68.89,97.49,55.03,57.19,50.75,79.98,120.42,67.06,52.14
hsa-miR-376c-3p,124.92,11.05,4.73,6.6,12.64,4.7,4.72,2.76,6.53,3.38,17.45,6.55,7.58,2.63,2.04,1.45,6.44,10.12,5.22,6.47,17.9,0.22,14.66,45.85,4.18,4.79,44.63,1.79,6.54,6.54,176.04,1.6,20.87,6.96,51.26
hsa-miR-149-5p,92.93,204.55,156.37,111.41,16.06,9.96,9.61,5.1,82.96,77.6,670.8,155.27,164.39,8.89,12.46,18.97,150.37,11.62,43.13,233.84,61.41,578.34,25.75,224.92,75.38,8.59,38.7,51.03,23.1,41.97,81.82,24.52,502.69,83.88,296.11
hsa-miR-486-5p,238.02,154.55,253.72,357.98,97.59,116.07,110.61,269.5,163.17,521.25,839.03,272.94,259.53,541.66,296.02,294.62,267.56,221.79,413.93,290.22,214.37,726.24,112.08,553.18,30.02,94.72,131.65,360.2,147.23,152.26,324.94,367.05,210.37,107.1,87.43
hsa-miR-455-5p,45.17,35.69,27.13,53.78,62.54,12.79,12.97,27.62,47.0,43.06,13.32,9.51,65.15,14.93,50.31,57.08,9.48,99.59,22.75,43.7,27.02,0.95,29.27,7.24,19.99,13.49,42.73,10.46,40.37,42.46,53.79,20.5,243.4,29.58,56.77
hsa-miR-30c-5p,928.36,614.98,826.92,488.1,891.18,220.02,268.79,626.08,691.0,939.45,1175.13,738.64,413.77,1168.07,2159.16,1752.67,734.49,752.55,456.02,543.5,1024.77,883.91,486.1,641.3,560.17,410.61,561.3,957.39,465.92,536.88,905.77,1413.96,1340.16,814.53,1341.99
hsa-miR-181a-5p,3199.76,1406.51,1742.41,1223.23,2886.6,869.27,909.92,5628.79,1272.28,2742.42,10948.7,5351.28,1334.41,1118.93,1470.4,1564.65,5308.16,1079.48,3315.84,2453.6,1858.45,4951.56,2394.8,1069.95,349.17,1028.13,2801.25,6841.05,1056.41,1124.47,3063.18,5476.54,24497.85,1176.96,3267.55
hsa-miR-320b,5.07,6.11,5.94,9.32,3.11,61.65,60.96,3.18,6.6,5.19,4.22,5.85,6.2,2.32,4.78,2.74,5.87,4.26,4.73,6.91,3.48,423.09,3.25,9.19,3.3,58.92,6.44,22.99,7.74,7.38,8.68,4.49,8.26,15.13,10.29
hsa-let-7a-5p,40942.4,25121.39,36804.42,30472.06,23788.3,23061.22,24543.48,31644.56,29927.73,25734.77,45233.92,31246.79,33723.24,26175.13,30730.65,21135.75,31113.83,31324.8,37339.05,27567.45,40638.99,76075.54,31268.47,29415.96,30223.05,28853.72,46600.87,58232.17,27160.28,28032.82,19267.15,53499.79,85139.81,29971.87,12959.65
