lncRNA名称 adipose adrenal brain brain_R breast colon foreskin_R heart hela_R HLF_1_R HLF_2_R kidney liver liver_R lung lymphNode ovary placenta_R prostate skeltalMuscle testis testis_R thyroid leukocyte
NONHSAT004129.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.294588 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.221329 0.0 0.0
NONHSAT004491.2 0.226793 0.0 0.0968772 0.0 0.0 0.313924 0.0 0.614363 0.359235 0.0 0.0 0.475001 0.0 0.0 0.0 0.0 0.236719 0.0206027 0.0 0.0 0.862895 0.0 0.117034 0.898798
NONHSAT004492.2 3.89368 1.87659 0.0 0.0 0.0 0.328206 0.325355 0.0 0.0 1.47852 0.803264 2.59681 0.0 0.0 0.0 0.528594 1.68451 0.0 0.0 0.0 0.0 0.0 2.07012 0.0
NONHSAT004493.2 0.0 0.0 0.0 0.0 0.9458 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT004495.2 0.0 0.260648 0.0 0.0 0.311916 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00828417 0.0 0.0 0.855084 0.0 0.0 0.0 1.51204 0.0 0.0
NONHSAT004496.2 0.0 0.0 0.00622328 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00740381 0.0 0.0 0.00119532 0.0 0.0 0.0
NONHSAT004498.2 0.0 0.0 0.486507 0.0 0.139752 0.0 0.505603 0.0 0.0 0.366509 0.671317 0.243689 0.0 0.0 0.0 0.497599 0.0 0.093921 0.287267 0.0 0.385506 0.0 0.0 0.0
NONHSAT004499.2 0.0 0.0 0.101027 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0161627 0.0 0.0 0.0 0.0782833 0.0 1.20458 0.0 0.0394148 0.0 0.306677 0.0
NONHSAT004500.2 0.0 0.0 0.0 0.0 0.0 0.560143 0.0 0.493271 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT004502.2 0.0 0.0 0.0 0.0 0.127673 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
