lncRNA名称 adipose adrenal brain brain_R breast colon foreskin_R heart hela_R HLF_1_R HLF_2_R kidney liver liver_R lung lymphNode ovary placenta_R prostate skeltalMuscle testis testis_R thyroid leukocyte
NONHSAT007668.2 19.3971 28.196 3.81593 4.71355 20.4056 25.7661 2.24791 0.0 0.0 6.68835 0.0 5.48045 0.0 0.928818 0.0 0.0 73.3443 7.38623 0.20731 0.0 16.7541 0.504576 14.3325 0.832176
NONHSAT007669.2 0.0 0.565022 0.0722537 0.0 0.0 0.0 0.0 0.071352 1.98033 0.617263 1.10385 0.671336 0.000905865 0.000485228 0.45098 0.421548 0.313993 0.0 0.328288 0.0 0.0 0.0 0.0 0.0
NONHSAT007670.2 0.514033 1.52425 0.618638 0.958299 0.32483 2.54533 2.2213 0.191224 2.45415 6.24382 8.11883 0.571359 0.183219 0.0 0.855466 2.33756 3.68977 0.0 4.68105 0.251106 1.37536 0.0 0.0423915 4.74526
NONHSAT007671.2 1.10095 0.764078 1.21475 0.333655 0.682576 0.0 1.53822 0.0 1.33564 5.10002 0.0 1.77685 0.0 0.0 2.34302 6.47787 1.92453 0.291368 4.98182 0.0 0.410586 0.346216 0.191629 0.0
NONHSAT007672.2 0.459034 0.884263 0.0 0.0 0.26553 0.297655 0.0 0.0 0.0 2.3937 8.23152 0.0 0.301 0.0 0.0 0.0 1.57652 0.0 0.0 0.0 0.874384 0.0 1.28819 0.0
NONHSAT007673.2 0.0 0.411649 0.261689 0.0 0.420471 0.0945099 1.52172 0.000128431 4.2266 0.221802 0.0 0.122073 1.05551 0.0 1.0387 0.0 0.436079 0.629667 0.137368 0.0 0.211853 0.735529 0.390488 0.0
NONHSAT007680.2 2.65974 5.65498 4.12754 2.13854 3.65054 4.74616 4.55454 0.553138 3.08272 8.43321 6.48476 4.66973 0.361488 1.49465 5.71956 8.82026 6.37197 0.804777 2.80351 1.6054 1.83896 0.60211 1.90496 3.83484
NONHSAT007681.2 2.14612 3.86393 0.0 0.144261 2.26512 2.40096 0.0310434 0.0 0.0 1.58628 0.0 0.54501 0.0 0.0 0.0 0.0 6.39878 0.0 0.152715 1.37168 0.0 0.0301029 4.1689 0.0
NONHSAT007682.2 0.574247 2.01048 0.0 0.451849 0.0 0.0 1.31733 0.158766 0.434297 0.0447611 0.0117069 1.42219 0.0 0.0 3.2483 0.0 1.56397 0.849798 1.72122 5.96555 0.582073 0.0 0.826848 0.0
NONHSAT007683.2 0.0 0.0 0.0 0.806471 0.0 0.0 0.0 0.0 0.0 5.19351 2.34709 0.0 0.0 0.562336 0.553742 0.00447777 0.0 0.175541 0.0 0.443173 0.0 1.02178 0.0 0.0
NONHSAT007684.2 0.900883 1.59169 0.0 0.0 1.85479 0.355373 0.0 0.0 2.12656 0.0 0.0 0.205298 0.0 0.0 2.09479 0.263487 0.918493 0.0 3.24444 0.0 0.0 0.0 1.20415 0.133652
NONHSAT007688.2 0.0 0.0 0.0 0.0 0.0 0.0 0.286908 0.0 0.973719 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT007691.2 0.142241 0.0 0.0 0.0 0.0 0.0 4.61264 0.0 0.0 9.72554 2.91218 0.0 0.387045 0.522706 0.0 0.000124288 0.360515 0.675949 0.0 1.38824 0.28871 0.0 0.0 0.0
NONHSAT007693.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.01932 2.34705 0.0 0.0 0.0 0.501488 0.0 0.0 0.0884749 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT007695.2 0.775015 1.47966 0.580516 0.0 0.0 0.0 2.28813 0.338024 0.556072 5.53941 2.33044 0.000266121 0.0 0.0 1.28175 0.0 1.56846 2.33225 0.0 0.0680236 0.0 0.923156 1.04487 0.26913
NONHSAT007698.2 0.422687 1.85827 0.427446 0.344737 0.678156 0.676465 3.29291 0.0 6.79459 3.06126 2.53796 1.74561 0.35023 0.142122 2.91572 1.57689 1.50923 2.34462 0.186708 0.0 0.314008 0.279592 0.416161 0.0
NONHSAT007699.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT007701.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.202934 0.525029 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.101386 0.256708 0.0 0.0 0.0 0.0 0.266638 0.0
NONHSAT007813.2 0.51816 0.402639 0.341772 0.372541 0.586315 0.0 0.1372 0.0395343 0.015706 0.15279 0.166044 0.669014 0.0585396 0.0510682 0.0698115 0.0447148 0.317924 0.513966 0.51302 0.0390502 0.589083 0.0 0.333206 0.0
NONHSAT008273.2 0.858629 1.06692 1.01413 0.825037 0.952949 0.730361 0.765761 0.476431 0.824677 1.33312 1.07283 0.799835 0.223678 0.0 1.19701 1.48549 0.831519 1.25403 1.44112 0.589976 0.769516 1.04451 1.56008 1.92199
NONHSAT008655.2 0.0 0.0 0.0709234 0.0 0.175493 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.878672 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT008656.2 0.0 0.0 0.0 0.175329 0.00234038 0.0 0.134765 0.0 0.0 0.0 0.0 0.0 0.0 0.108991 0.0 0.0 0.0 0.898973 0.0 0.0 0.0 0.0772047 0.0 0.0
NONHSAT009784.2 0.141961 0.389523 0.107646 0.192136 0.293764 0.25597 0.186323 0.117744 0.191075 0.1489 0.294515 0.216171 0.12949 0.0 0.261268 0.244965 0.233977 0.276805 0.312705 0.267986 0.225961 0.299287 0.109811 0.118316
NONHSAT009874.2 0.0 0.0 0.0 0.0 0.0 0.0498451 0.0 0.00571878 0.0 0.0 0.0 0.0 0.00896222 0.0 0.0 0.0 0.0 0.220434 0.0748113 0.0 0.153331 0.0 0.0 0.0
NONHSAT009922.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.155254 0.0 0.0
NONHSAT011932.2 0.456002 0.00181158 0.577626 0.0187777 0.259284 0.622957 0.119478 0.00194925 0.000614341 0.0891589 0.196182 0.255939 0.0514284 0.163874 0.00045333 0.298321 0.191158 0.518017 0.354132 0.000217003 0.0 0.0 0.614524 0.398238
NONHSAT012566.2 0.589735 0.664974 1.79939 1.42928 1.24269 0.393518 0.159407 0.357012 0.317446 0.37407 0.32652 1.10264 0.570546 0.0 0.498885 2.03521 1.23349 0.218296 0.894943 1.25584 1.01285 0.452414 0.588197 0.583854
NONHSAT015142.2 0.188617 0.0784443 0.35776 0.0689693 0.871899 0.0415422 0.231842 0.0 0.0 0.0 0.0 0.0374065 0.011753 0.142875 0.0 0.0 0.159079 0.0 0.0484433 0.0535374 0.0 0.0 0.0973559 0.0
NONHSAT015185.2 0.183727 0.701962 0.468076 0.283553 0.652021 0.517865 0.229529 0.0600055 0.377269 1.50754 1.39605 0.130879 0.130909 0.141565 0.902254 0.0 0.0644919 0.889417 0.34001 0.378705 0.27027 0.279234 0.215839 0.311689
NONHSAT015407.2 0.76271 0.420056 2.4624 0.0 1.55482 0.506852 0.269298 0.0355197 0.29141 0.0 0.550246 0.143002 0.19632 0.0 0.209651 0.0980034 0.0439366 0.0 0.0313134 0.0 0.0792943 0.141127 0.644998 0.0
NONHSAT015408.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.126483 0.0 0.130678 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT015410.2 0.714411 1.18188 1.59394 0.0 4.52663 0.0 0.0 1.26044 0.0 0.0 0.0 0.216317 0.322263 0.0 0.0 0.203905 0.0 0.290533 1.1095 0.739798 0.92581 0.292717 0.0849166 0.0
NONHSAT015413.2 0.160418 0.485613 0.232517 0.871636 0.262404 0.40696 0.234713 0.178089 0.590167 0.662343 0.626397 0.431302 0.0708267 0.0312323 0.0591998 1.21525 0.154142 0.474595 0.422621 0.0474819 0.789101 1.89724 0.207966 0.0916203
NONHSAT015417.2 0.0 0.100798 0.652448 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.115432 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT015494.2 0.0920297 1.47208 0.0845711 0.126385 0.539773 2.01491 1.70467 0.394765 0.334151 0.979708 1.03345 0.439429 0.104448 0.0 2.66829 1.43065 1.73506 0.44516 1.06273 0.0 0.807227 0.115439 0.287521 2.38606
NONHSAT015770.2 0.0 0.351323 0.124021 0.0 0.478145 0.0 0.0 0.0 0.0 0.0 0.0 0.248498 0.0 0.0 0.0 0.0 0.0 0.0 0.139577 0.0 0.151409 0.467304 0.0806376 0.0
NONHSAT015785.2 0.0687297 0.368172 0.146761 0.0158285 0.0703268 0.0408061 0.0 0.382535 0.0 0.0 0.0 0.0184786 0.0621054 0.0 0.0230643 0.115487 0.102056 0.0437321 0.0933709 0.0 0.32126 0.899936 0.329398 0.264023
NONHSAT015786.2 0.132767 0.0 0.0 0.115893 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.225172 0.0199208 0.365409
NONHSAT015787.2 0.57816 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.18476 0.0 0.0749158 0.171109 0.0 0.0 0.0 0.0253707 0.0 0.207565 0.213529 2.43206 2.34376 0.775862 0.740054
NONHSAT015970.2 0.249767 0.0791715 0.35224 0.0215548 1.74957 0.374156 0.202853 0.0 0.714567 0.221164 0.254282 0.282829 0.126048 0.0 0.926382 0.0 0.0 0.139789 0.0031328 0.0 0.289962 0.0963236 0.106879 0.0
NONHSAT016130.2 0.234503 1.56373 0.324165 1.03202 0.248984 0.144502 0.0949886 0.00102943 0.393546 0.229721 0.273073 1.12927 0.317242 0.0 0.404854 3.93842 0.893279 0.29732 0.297925 0.0 0.269625 0.877921 0.701728 0.0858312
NONHSAT016411.2 0.398834 1.35635 1.97567 3.03108 1.62495 1.03452 0.125319 1.10388 0.182682 0.691471 0.687791 2.63342 0.494069 0.0 0.294029 1.9969 0.783866 0.217295 1.19772 1.02395 0.672877 0.689423 1.01042 0.782973
NONHSAT016550.2 0.0 0.0 0.0 0.0 0.103402 0.00112296 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.119694 0.0 0.0 0.0 0.0 0.0 0.377595 0.0
NONHSAT016892.2 0.0 0.0 0.567118 0.238146 0.0 0.0 0.000223866 0.177374 0.0 0.0 0.0 1.05986 0.0 0.0 0.0 0.0 0.0 0.155367 0.614513 0.0 1.53432 0.868645 0.0 0.0
NONHSAT016899.2 0.0250513 0.0 0.0 0.0 0.0836885 0.0 0.0241492 0.0 0.0 0.0 0.0 0.0 0.017956 0.0 0.0 0.0521779 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0316906
NONHSAT016901.2 0.0 1.0644 0.346252 0.892062 0.344725 1.3757 0.0 0.433621 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.876922 0.428084 0.440523 0.9449 1.82701 1.44831 0.0 0.0
NONHSAT016904.2 0.0 0.0151786 0.0 0.296669 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0331155 0.0 0.0 0.0 0.106347 0.0 0.00321907 0.0
NONHSAT017131.2 0.0850061 0.0 0.0 0.0 0.266025 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.114263 0.0147665 25.7732 0.0 0.0284446 0.0 22.9785 438.989 0.00501331 0.0287905
NONHSAT017192.2 0.125555 0.210233 0.0 0.0248688 0.0 0.00021014 0.0 0.275006 0.0 0.0741425 0.314053 0.161155 0.09061 0.110437 0.00150206 0.308328 0.122913 0.0 0.425978 0.0949236 0.670192 3.17089 0.234891 0.0
NONHSAT017460.2 0.00962145 0.0346829 0.0311971 0.0 0.185882 0.0 0.0 0.518612 0.0 0.0 0.0 0.146876 0.161242 0.0 0.046028 0.154127 0.0981862 14.1237 0.273333 1.3372 0.35421 0.580474 0.184765 0.0106037
NONHSAT017462.2 63.7452 3.03643 0.0 0.371785 52.9974 24.2108 0.0 20.7654 0.0 0.0 0.0 12.192 10.0093 0.840871 7.9238 18.7883 24.7437 608.746 52.1906 226.693 41.4128 2.83359 95.9651 0.0
NONHSAT017472.2 0.102824 0.212295 0.130392 0.0 0.123206 0.0 0.0 0.518001 0.0 0.0 0.0 0.577367 0.0309663 0.0 0.256416 0.29699 0.742857 25.2015 0.587101 0.170712 0.243257 0.719908 0.397079 0.0
NONHSAT017774.2 0.0 0.0 0.22854 0.0 0.0 0.0 0.0 0.110432 0.0 0.0 0.0 0.622359 0.0454686 0.149955 0.0 0.210377 0.0389042 0.0 0.22838 0.0 0.0 0.0 0.282803 0.0123295
